key,PorR,time_stamp
'i',False,15:43:53.298860
Key.space,True,15:43:53.848058
Key.space,False,15:43:53.898561
Key.backspace,True,15:43:54.795838
Key.backspace,False,15:43:54.871100
'f',True,15:43:54.989100
'f',False,15:43:55.024022
Key.space,True,15:43:55.164594
Key.space,False,15:43:55.221445
'j',True,15:43:56.241457
'j',False,15:43:56.291754
Key.space,True,15:43:56.403720
Key.space,False,15:43:56.444462
'n',True,15:43:56.821174
'o',True,15:43:56.906355
'n',False,15:43:56.931289
'o',False,15:43:57.021166
't',True,15:43:57.314292
't',False,15:43:57.335241
Key.space,True,15:43:57.884475
Key.space,False,15:43:57.964949
'i',True,15:43:58.205945
'n',True,15:43:58.316586
'i',False,15:43:58.336536
'n',False,15:43:58.396310
Key.space,True,15:43:58.837456
Key.space,False,15:43:58.887985
'j',True,15:44:03.004439
'j',False,15:44:03.074454
Key.backspace,True,15:44:05.738480
Key.backspace,False,15:44:05.777099
Key.enter,True,15:44:08.855029
Key.enter,False,15:44:08.890482
'l',True,15:44:09.369506
'l',False,15:44:09.427968
Key.space,True,15:44:09.790365
Key.space,False,15:44:09.870665
Key.shift,True,15:44:09.910388
'=',True,15:44:10.075113
Key.shift,False,15:44:10.132740
'-',False,15:44:10.157662
Key.space,True,15:44:11.191342
Key.space,False,15:44:11.282380
'j',True,15:44:13.136153
'j',False,15:44:13.191358
Key.shift,True,15:44:18.155629
'%',True,15:44:18.510962
Key.shift,False,15:44:18.556356
'5',False,15:44:18.577847
'3',True,15:44:20.620687
'3',False,15:44:20.675913
Key.backspace,True,15:44:35.494570
Key.backspace,False,15:44:35.579633
Key.backspace,True,15:44:35.699470
Key.backspace,False,15:44:35.754808
Key.backspace,True,15:44:35.883494
Key.backspace,False,15:44:35.918399
Key.backspace,True,15:44:36.034908
Key.backspace,False,15:44:36.094738
Key.backspace,True,15:44:36.209432
Key.backspace,False,15:44:36.272269
Key.backspace,True,15:44:36.372570
Key.backspace,False,15:44:36.452397
Key.backspace,True,15:44:36.570791
Key.backspace,False,15:44:36.643999
Key.backspace,True,15:44:36.836467
Key.backspace,False,15:44:36.897679
Key.backspace,True,15:44:40.366399
Key.backspace,False,15:44:40.461812
Key.backspace,True,15:44:40.569499
Key.backspace,False,15:44:40.624300
Key.backspace,True,15:44:40.732515
Key.backspace,False,15:44:40.788264
Key.backspace,True,15:44:40.880200
Key.backspace,False,15:44:40.963977
Key.backspace,True,15:44:41.060423
Key.backspace,False,15:44:41.111668
Key.backspace,True,15:44:41.205539
Key.backspace,False,15:44:41.262530
Key.backspace,True,15:44:41.358055
Key.backspace,False,15:44:41.416899
Key.backspace,True,15:44:41.516822
Key.backspace,False,15:44:41.579047
Key.backspace,True,15:44:41.670023
Key.backspace,False,15:44:41.734491
Key.backspace,True,15:44:41.824924
Key.backspace,False,15:44:41.898287
Key.backspace,True,15:44:41.998468
Key.backspace,False,15:44:42.053164
Key.backspace,True,15:44:42.154408
Key.backspace,False,15:44:42.219176
Key.backspace,True,15:44:42.324249
Key.backspace,False,15:44:42.403076
Key.backspace,True,15:44:42.502119
Key.backspace,False,15:44:42.586656
